size_sqft,bedrooms,bathrooms,levels,distance_to_city_km,has_pool,basement_finished_sqft,basement_unfinished_sqft,lot_size_sqft,land_size_acres,garage_capacity,sold_quickly
2969,4,3.4,3,17.8,0,236,975,2000,0.101,2,1
2877,3,3.1,3,2.4,1,0,0,5074,0.229,2,1
1858,2,1.4,2,28.1,0,367,232,4318,0.122,2,0
2259,3,2.5,3,14.4,0,639,149,4388,0.103,2,1
2833,4,2.7,1,11.7,0,586,786,4453,0.248,2,1
2523,3,2.6,1,7.0,0,664,583,4588,0.162,1,1
4070,6,4.9,2,10.1,0,956,1476,11692,0.32,2,1
3091,4,3.9,2,17.2,0,1183,357,8842,0.219,2,1
2453,3,2.3,1,28.7,0,175,1316,5066,0.091,2,0
1926,3,1.3,1,2.9,0,318,383,3063,0.052,2,1
2441,3,2.2,1,11.3,0,855,674,5919,0.126,2,1
3039,4,3.3,1,4.1,0,740,181,7952,0.113,1,1
2539,3,2.6,2,3.5,0,0,0,5783,0.122,2,1
1448,2,1.7,1,12.6,0,211,595,2000,0.053,2,0
2628,3,2.2,2,8.5,0,0,0,5361,0.109,2,0
2849,4,3.9,1,14.3,0,591,983,6019,0.154,2,1
2296,2,1.0,2,16.9,0,1448,70,2401,0.051,1,0
2225,2,1.0,2,3.2,0,0,0,4752,0.117,1,1
2117,3,1.8,1,8.3,0,79,593,5472,0.095,1,1
1889,3,1.8,1,10.1,0,744,209,4895,0.097,1,0
3109,4,3.9,1,0.5,0,900,251,8894,0.204,1,1
2654,4,3.8,1,10.2,0,0,0,2627,0.023,2,1
3244,4,3.0,3,3.1,0,549,1052,6988,0.156,1,1
3058,4,4.0,2,10.4,0,569,1308,5124,0.087,2,1
2463,4,3.5,2,11.7,0,0,0,6651,0.207,1,0
2534,3,2.2,1,0.5,0,450,393,7108,0.151,1,1
2341,3,2.1,1,4.2,0,0,0,2007,0.072,1,0
1823,2,1.0,1,14.8,0,0,0,2929,0.039,2,0
2757,3,2.6,1,18.2,0,829,824,3566,0.071,1,0
2861,4,3.7,1,25.3,0,225,892,5528,0.122,2,0
1927,2,1.5,2,14.5,0,0,0,3746,0.023,2,0
2120,3,1.4,2,7.4,1,0,0,6852,0.075,2,0
2127,3,2.5,1,5.6,0,603,706,5243,0.053,1,0
2234,3,2.7,2,3.1,0,561,221,6576,0.185,1,1
2113,3,2.1,2,19.2,0,341,769,6144,0.167,2,0
2470,3,2.4,1,2.5,1,0,0,2830,0.051,2,0
1902,3,1.5,1,6.6,0,727,379,3906,0.02,2,1
3748,5,3.8,2,11.1,0,1044,701,9398,0.253,2,1
3271,5,4.2,1,20.9,0,0,0,9318,0.184,2,1
2413,3,2.2,1,16.3,0,0,0,6329,0.158,1,1
2543,4,3.6,1,11.0,0,78,1083,2000,0.062,2,1
1843,2,1.0,1,16.4,0,342,628,4576,0.166,2,0
2625,3,2.2,1,25.5,0,0,0,5121,0.119,1,0
2302,3,2.2,1,9.6,0,246,1029,6015,0.02,2,0
3964,5,4.7,2,20.0,0,402,1632,6523,0.181,2,1
2258,3,3.1,1,16.3,0,367,782,4694,0.065,2,0
2423,3,3.3,2,20.7,0,0,0,4215,0.02,1,0
3822,6,4.6,2,13.0,0,1404,580,10197,0.187,1,0
2431,3,2.4,2,7.2,0,966,651,6093,0.026,2,1
2729,4,2.8,1,4.7,0,969,349,4960,0.151,2,1
1483,2,1.4,2,10.6,0,436,62,2000,0.02,1,0
3374,4,3.6,2,4.9,0,72,1504,5899,0.175,1,0
2518,4,3.4,1,2.0,0,556,742,8390,0.186,1,1
2265,3,2.4,1,28.4,0,0,0,4137,0.086,2,0
2513,3,3.1,3,5.5,0,0,0,9079,0.239,2,1
2370,3,2.8,1,8.6,0,0,0,5102,0.02,2,1
1745,3,2.3,2,12.9,0,724,361,2000,0.079,1,0
3081,4,3.4,1,24.6,0,473,465,8424,0.203,2,0
3086,5,4.8,2,16.7,0,773,1260,2068,0.099,2,1
2167,3,2.7,2,21.8,0,664,429,4544,0.083,2,1
2826,4,3.2,3,13.2,1,0,0,10318,0.255,2,1
1423,3,1.5,1,12.2,1,0,0,6223,0.103,1,1
2868,4,2.8,1,13.5,0,1216,593,8587,0.228,1,0
3099,4,3.5,2,20.6,1,903,489,8119,0.225,2,0
2848,4,2.5,2,5.8,0,1479,496,8112,0.053,1,1
1755,2,1.3,1,7.9,0,0,0,2000,0.062,1,0
3578,4,3.2,1,18.5,0,0,0,8767,0.152,1,0
2037,2,1.9,1,21.8,0,0,0,4840,0.101,2,0
1717,2,1.0,2,1.8,0,129,475,6175,0.129,1,0
3076,3,1.4,3,8.6,0,728,946,9479,0.228,1,1
1509,2,1.2,1,15.5,0,428,527,2115,0.072,1,1
3655,5,4.7,2,16.2,0,0,0,4410,0.088,1,0
2427,4,3.9,1,20.3,0,0,0,4941,0.083,1,1
3019,4,2.9,1,22.1,0,396,1714,9052,0.175,1,0
1066,1,1.0,2,9.1,0,569,17,2000,0.02,1,1
2318,3,1.8,1,19.8,1,530,692,4191,0.02,1,0
2411,3,2.0,2,5.9,0,526,670,2000,0.108,1,1
1784,2,1.7,1,19.4,0,381,593,2234,0.02,2,1
1378,2,1.8,1,10.8,0,568,182,3497,0.16,2,1
2784,4,2.9,1,15.1,0,778,256,5494,0.071,2,1
2301,3,2.6,2,17.5,0,841,4,2920,0.101,1,1
2471,4,2.5,2,18.2,0,179,693,7920,0.241,1,1
2540,3,2.3,1,14.6,0,410,362,4245,0.077,2,0
2864,3,1.8,1,14.3,0,1231,755,2000,0.042,2,1
3591,5,4.0,1,3.2,0,1057,870,11075,0.264,2,1
2741,4,2.8,1,15.2,0,479,1426,7619,0.183,2,1
1609,3,2.7,2,7.5,0,312,364,3843,0.051,1,0
643,1,1.0,3,8.6,0,88,151,2000,0.02,1,1
2401,3,2.1,1,14.9,0,598,576,2681,0.074,1,1
2678,3,2.6,2,23.1,1,589,1012,5606,0.148,2,0
